cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  2.960879961E+00  1.490173103E-02  1.490172760E-02 -1.012031909E-05 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  2.942994840E+00  4.174296732E-02  4.174296628E-02 -9.341369049E-06 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  8.848376596E+00  1.490666189E-02  1.490665982E-02 -7.859004089E-06 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  8.837580400E+00  4.182562038E-02  4.182561975E-02 -7.289089293E-06 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  2.950903649E+00  6.563003379E-02  6.563003181E-02 -1.611332982E-05 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  1.465746398E+01  1.491215240E-02  1.491215162E-02 -4.814502297E-06 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  1.465285412E+01  4.176267647E-02  4.176267622E-02 -4.577383936E-06 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  8.900042984E+00  6.569409699E-02  6.569409469E-02 -1.740211631E-05 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  2.984418275E+00  8.651376309E-02  8.651376040E-02 -2.156404848E-05 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  2.055318743E+01  1.491307640E-02  1.491307481E-02 -6.875693313E-06 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  1.474390542E+01  6.566022541E-02  6.566022333E-02 -1.652845403E-05 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  2.054126892E+01  4.174441199E-02  4.174441175E-02 -4.423008479E-06 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  8.962211658E+00  8.659410480E-02  8.659410219E-02 -2.122943674E-05 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  3.005806335E+00  1.044254908E-01  1.044254886E-01 -2.184977682E-05 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  2.642305588E+01  1.490637600E-02  1.490637456E-02 -6.565186462E-06 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  2.062682433E+01  6.562098933E-02  6.562098742E-02 -1.581158669E-05 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  1.482247605E+01  8.654971195E-02  8.654970947E-02 -2.069428724E-05 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  2.639896799E+01  4.172728200E-02  4.172728163E-02 -5.523193196E-06 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  9.005660586E+00  1.044951698E-01  1.044951674E-01 -2.221161922E-05 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  3.015039273E+00  1.193594302E-01  1.193594286E-01 -1.897407601E-05 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  3.229380942E+01  1.490292484E-02  1.490292365E-02 -5.949964436E-06 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  2.071604711E+01  8.657836406E-02  8.657836209E-02 -1.850181184E-05 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  2.644290724E+01  6.561161584E-02  6.561161416E-02 -1.481348226E-05 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  1.488497766E+01  1.044863758E-01  1.044863737E-01 -2.120520374E-05 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  3.225466251E+01  4.173905585E-02  4.173905548E-02 -5.569848495E-06 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  9.024072267E+00  1.194303364E-01  1.194303348E-01 -1.948911857E-05 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  3.018810654E+00  1.313123358E-01  1.313123349E-01 -1.569367162E-05 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  3.814378231E+01  1.489785015E-02  1.489784905E-02 -5.729369869E-06 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  2.654215989E+01  8.652032536E-02  8.652032412E-02 -1.464770306E-05 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  2.081672980E+01  1.044753732E-01  1.044753716E-01 -1.812844093E-05 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  3.227458234E+01  6.561026886E-02  6.561026794E-02 -1.095377434E-05 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  1.492892124E+01  1.194081464E-01  1.194081448E-01 -1.962501426E-05 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  3.811235333E+01  4.175861759E-02  4.175861755E-02 -1.637136983E-06 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  9.031993338E+00  1.313864519E-01  1.313864510E-01 -1.551227304E-05 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  3.022814524E+00  1.402805251E-01  1.402805248E-01 -9.945827658E-06 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  4.397117301E+01  1.489618069E-02  1.489617998E-02 -4.589950094E-06 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  2.666727166E+01  1.044853129E-01  1.044853122E-01 -1.215970344E-05 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  3.235717254E+01  8.654934470E-02  8.654934451E-02 -5.685183435E-06 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  2.088393430E+01  1.194208243E-01  1.194208233E-01 -1.578769671E-05 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  3.811748619E+01  6.562034585E-02  6.562034580E-02 -2.489416969E-06 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  1.494208612E+01  1.313613962E-01  1.313613954E-01 -1.420701731E-05 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  4.394796848E+01  4.174077317E-02  4.174077278E-02  5.722849294E-06 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  9.039640866E+00  1.403552887E-01  1.403552883E-01 -9.489374747E-06 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  3.011098551E+00  1.462591426E-01  1.462591423E-01 -9.579246636E-06 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  4.976580787E+01  1.489690093E-02  1.489690075E-02 -2.295446218E-06 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  3.250700374E+01  1.044780765E-01  1.044780765E-01  2.566966667E-06 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  2.677142203E+01  1.194253764E-01  1.194253762E-01 -6.584373501E-06 
        48  1.679748995E-05  1.749895412E-06  1.679748995E-05  1.749895412E-06  3.819649981E+01  8.655385151E-02  8.655385008E-02  1.573680786E-05 
        49  1.825201340E-05  3.250139899E-06  1.825201340E-05  3.250139899E-06  2.091886219E+01  1.313765721E-01  1.313765717E-01 -1.032056054E-05 
        50  1.630680571E-05  1.250370188E-06  1.630680571E-05  1.250370188E-06  4.397510807E+01  6.567334294E-02  6.567334082E-02  1.671015754E-05 
        51  1.875028483E-05  3.750021096E-06  1.875028483E-05  3.750021096E-06  1.495363469E+01  1.403314889E-01  1.403314887E-01 -8.811163235E-06 
        52  1.581082821E-05  7.502455457E-07  1.581082821E-05  7.502455457E-07  4.975493014E+01  4.178054627E-02  4.178054139E-02  2.018721852E-05 
        53  1.925011077E-05  4.250005272E-06  1.925011077E-05  4.250005272E-06  9.026836559E+00  1.463378842E-01  1.463378840E-01 -7.453240792E-06 
        54  1.975002374E-05  4.750002637E-06  1.975002374E-05  4.750002637E-06  3.033834025E+00  1.492522411E-01  1.492522407E-01  1.036311003E-05 
        55  1.531302208E-05  2.499997716E-07  1.531302208E-05  2.499997716E-07  5.552452351E+01  1.490618860E-02  1.490618848E-02  1.878413620E-06 
        56  1.726959566E-05  2.750126961E-06  1.726959566E-05  2.750126961E-06  3.265207067E+01  1.194294014E-01  1.194294007E-01  1.271050997E-05 
        57  1.678807284E-05  2.249927470E-06  1.678807284E-05  2.249927470E-06  3.836683048E+01  1.044923757E-01  1.044923708E-01  3.195193099E-05 
        58  1.775627597E-05  3.250215053E-06  1.775627597E-05  3.250215053E-06  2.684694596E+01  1.313800401E-01  1.313800401E-01  3.401262412E-08 
        59  1.630416037E-05  1.749824040E-06  1.630416037E-05  1.749824040E-06  4.406688580E+01  8.657725557E-02  8.657723961E-02  5.256132392E-05 
        60  1.825110962E-05  3.750067127E-06  1.825110962E-05  3.750067127E-06  2.094390872E+01  1.403433877E-01  1.403433876E-01 -4.548401585E-06 
        61  1.581265469E-05  1.249629994E-06  1.581265469E-05  1.249629994E-06  4.981446744E+01  6.567615675E-02  6.567613558E-02  5.274082615E-05 
        62  1.875014242E-05  4.249994721E-06  1.875014242E-05  4.249994721E-06  1.495819264E+01  1.463120541E-01  1.463120540E-01 -5.808725605E-06 
        63  1.531667900E-05  7.497520795E-07  1.531667900E-05  7.497520795E-07  5.552870765E+01  4.179980349E-02  4.179977829E-02  4.590301132E-05 
        64  1.925005143E-05  4.749998680E-06  1.925005143E-05  4.749998680E-06  9.042000632E+00  1.493274296E-01  1.493274295E-01  6.501001164E-06 
        65  1.975001187E-05  5.250001318E-06  1.975001187E-05  5.250001318E-06  3.034375161E+00  1.492499078E-01  1.492499076E-01 -9.010908875E-06 
        66  1.481887431E-05  2.499997713E-07  1.481887431E-05  2.499997713E-07  6.123402866E+01  1.492751091E-02  1.492750904E-02  7.468893972E-06 
        67  1.677883411E-05  2.750026271E-06  1.677883411E-05  2.750026271E-06  3.852806037E+01  1.194389240E-01  1.194389132E-01  5.084695192E-05 
        68  1.726293559E-05  3.250171023E-06  1.726293559E-05  3.250171023E-06  3.277067382E+01  1.313862026E-01  1.313862007E-01  2.208403503E-05 
        69  1.629611675E-05  2.249874605E-06  1.629611675E-05  2.249874605E-06  4.424353446E+01  1.045173535E-01  1.045173175E-01  8.673541726E-05 
        70  1.775369298E-05  3.750140770E-06  1.775369298E-05  3.750140770E-06  2.689851023E+01  1.403450436E-01  1.403450435E-01  4.840910781E-06 
        71  1.581041823E-05  1.750034920E-06  1.581041823E-05  1.750034920E-06  4.993318645E+01  8.663653250E-02  8.663645295E-02  1.173980698E-04 
        72  1.825058648E-05  4.250044085E-06  1.825058648E-05  4.250044085E-06  2.095372911E+01  1.463214763E-01  1.463214763E-01 -1.577959441E-06 
        73  1.531851017E-05  1.250370187E-06  1.531851017E-05  1.250370187E-06  5.563873895E+01  6.578463741E-02  6.578453817E-02  1.142675446E-04 
        74  1.875007121E-05  4.750005273E-06  1.875007121E-05  4.750005273E-06  1.498779885E+01  1.492998009E-01  1.492998009E-01  1.947533779E-08 
        75  1.482253267E-05  7.502455439E-07  1.482253267E-05  7.502455439E-07  6.127088169E+01  4.190271601E-02  4.190262217E-02  8.867819513E-05 
        76  1.925002769E-05  5.250001318E-06  1.925002769E-05  5.250001318E-06  9.042045157E+00  1.493248629E-01  1.493248628E-01 -4.305622739E-06 
